Label;Area_px
60_40;5020
60_40;7840
60_40;43012
60_40;9332
60_40;3396
60_40;2644
60_40;19076
60_40;4492
60_40;2988
60_40;11304
60_40;30788
60_40;3704
60_40;5812
60_40;40108
60_40;3856
60_40;46716
60_40;18624
60_40;35284
60_40;30788
60_40;62037
60_40;18168
60_40;4060
60_40;515212
60_40;69070
60_40;69070
60_40;15824
60_40;13241
60_40;71636
60_40;30156
60_40;18148
60_40;19116
60_40;24328
60_40;110988
60_40;34636
60_40;3856
60_40;5812
60_40;4048
60_40;64244
60_40;3856
60_40;33340
60_40;35264
60_40;12452
60_40;23236
60_40;6668
60_40;8492
60_40;10212
60_40;3856
60_40;3816
60_40;5020
60_40;40832
60_40;53032
60_40;418540
60_40;64244
60_40;23764
60_40;11304
60_40;9852
60_40;4048
60_40;5812
60_40;38704
60_40;3856
60_40;28968
60_40;19116
60_40;96224
60_40;11704
60_40;5024
60_40;10212
60_40;12064
60_40;7548
60_40;3212
60_40;17676
60_40;442952
60_40;24344
60_40;18624
60_40;3856
60_40;4780
60_40;46752
60_40;6336
60_40;8492
60_40;9856
60_40;11304
60_40;6084
60_40;5492
60_40;13272
60_40;2644
60_40;28324
60_40;11660
60_40;3640
60_40;18148
60_40;26540
60_40;4284
60_40;2292
60_40;6944
60_40;16756
60_40;12096
60_40;4304
60_40;3396
60_40;21648
60_40;4060
60_40;2812
60_40;72332
60_40;15824
60_40;63332
60_40;74492
60_40;60700
60_40;16756
60_40;4060
60_40;6636
60_40;16268
60_40;10124
60_40;7840
60_40;16220
60_40;16756
60_40;33964
60_40;26584
60_40;2828
60_40;91361
60_40;20108
60_40;5532
60_40;3212
60_40;94028
60_40;25448
60_40;7548
60_40;14520
60_40;4780
60_40;6084
60_40;6440
60_40;2644
60_40;10580
60_40;3596
60_40;10212
60_40;4548
60_40;2128
60_40;3396
60_40;5024
60_40;18168
60_40;12892
60_40;6360
60_40;2452
60_40;1968
60_40;3856
60_40;14100
60_40;3016
60_40;5544
60_40;3856
60_40;3760
60_40;3356
60_40;20612
60_40;7232
60_40;8392
60_40;10560
60_40;41528
60_40;4020
60_40;3620
60_40;4548
60_40;3396
60_40;4060
60_40;14536
60_40;13684
60_40;11704
60_40;33952
60_40;12400
60_40;9500
60_40;61556
60_40;24848
60_40;6668
60_40;53924
60_40;2644
60_40;20100
60_40;3640
60_40;5020
60_40;4968
60_40;4708
60_40;41556
60_40;18624
60_40;9116
60_40;9432
60_40;12472
60_40;19116
60_40;2812
60_40;5768
60_40;17676
60_40;6360
60_40;24601
60_40;3396
60_40;7360
60_40;12064
60_40;27184
60_40;7804
60_40;18168
60_40;3396
60_40;4528
60_40;8492
60_40;28360
60_40;2644
60_40;2292
60_40;2116
60_40;7136
60_40;6084
60_40;4304
60_40;23780
60_40;6944
60_40;2080
60_40;3228
60_40;11704
60_40;7468
60_40;11308
60_40;5812
60_40;6336
60_40;22712
60_40;13272
60_40;12064
60_40;5532
60_40;3816
60_40;4048
60_40;8816
60_40;11704
60_40;2472
60_40;1528
60_40;6944
60_40;6284
60_40;19482
60_40;5272
60_40;4304
60_40;31420
60_40;13240
60_40;9152
60_40;1940
60_40;1796
60_40;3524
60_40;13692
60_40;11704
60_40;16756
60_40;8670
60_40;9500
60_40;12096
60_40;4060
60_40;1664
60_40;31580
60_40;4548
60_40;18148
60_40;4020
60_40;15388
60_40;6944
60_40;1132
60_40;2828
60_40;2828
60_40;4780
60_40;8816
60_40;30128
60_40;1020
60_40;4548
60_40;19116
60_40;2292
60_40;21648
60_40;5272
60_40;6944
60_40;15836
60_40;1968
60_40;1264
60_40;6336
60_40;17196
60_40;4548
60_40;3016
60_40;6944
60_40;2644
60_40;5768
60_40;1804
60_40;1528
60_40;2128
60_40;8492
60_40;2116
60_40;1804
60_40;2292
60_40;10916
60_40;10944
60_40;279336
60_40;18624
60_40;4060
60_40;13692
60_40;2264
60_40;8816
60_40;497632
60_40;70648
60_40;22684
60_40;12016
60_40;6092
60_40;23764
60_40;49060
60_40;5532
NC;23780
NC;3856
NC;24864
NC;3770
NC;35976
NC;28968
NC;80424
NC;3620
NC;25448
NC;6360
NC;7840
NC;4060
NC;10124
NC;36624
NC;12096
NC;6668
NC;5812
NC;3640
NC;4780
NC;12892
NC;12824
NC;13240
NC;122244
NC;15836
NC;8172
NC;15388
NC;11704
NC;18108
NC;107524
NC;6944
NC;7528
NC;4968
NC;29568
NC;34636
NC;27736
NC;33952
NC;16268
NC;9152
NC;7860
NC;5812
NC;8968
NC;4528
NC;19588
NC;10212
NC;67868
NC;2812
NC;3016
NC;12472
NC;22712
NC;8816
NC;8676
NC;7548
NC;22712
NC;22712
NC;3356
NC;6636
NC;3032
NC;1804
NC;2292
NC;2012
NC;4048
NC;24344
NC;2080
NC;16724
NC;3412
NC;2472
NC;4284
NC;3016
NC;3016
NC;16268
NC;19116
NC;1968
NC;2644
NC;14100
NC;3228
NC;9152
NC;10212
NC;14080
NC;4048
NC;78144
NC;376660
NC;97208
NC;178545
NC;54544
NC;25448
NC;97296
NC;91820
NC;13692
NC;14924
NC;19528
NC;58112
NC;14956
NC;33340
NC;40832
NC;26540
NC;23764
NC;10580
NC;14956
NC;10212
NC;9852
NC;46008
NC;42264
NC;11264
NC;12864
NC;26540
NC;13240
NC;8816
NC;18624
NC;11704
NC;60680
NC;8492
NC;21084
NC;19604
NC;58112
NC;30788
NC;44492
NC;22152
NC;27768
NC;24848
NC;14496
NC;26024
NC;17676
NC;37336
NC;58876
NC;28324
NC;7804
NC;10944
NC;7220
NC;18148
85_15;30936
85_15;3219
85_15;33644
85_15;2884
85_15;3580
85_15;11496
85_15;13598
85_15;3532
85_15;4315
85_15;4594
85_15;4888
85_15;8148
85_15;5944
85_15;6476
85_15;4128
85_15;1528
85_15;800
85_15;5020
85_15;5024
85_15;10211
85_15;2882
85_15;1449
85_15;1888
85_15;22692
85_15;4532
85_15;25168
85_15;6224
85_15;4832
85_15;5096
85_15;8584
85_15;2500
85_15;3745
85_15;6643
85_15;1976
85_15;3908
85_15;22288
85_15;7696
85_15;4904
85_15;4304
85_15;5208
85_15;12071
85_15;3212
85_15;11208
85_15;5588
85_15;14616
85_15;1971
85_15;3072
85_15;988
85_15;1663
85_15;928
85_15;764
85_15;1354
85_15;2188
85_15;3134
85_15;3436
85_15;1524
85_15;4543
85_15;596
85_15;632
85_15;8496
85_15;3412
85_15;1971
85_15;1168
85_15;10944
85_15;1572
85_15;648
85_15;3164
85_15;2560
85_15;10486
85_15;4052
85_15;7240
85_15;2082
85_15;1702
85_15;1850
85_15;5388
85_15;3684
85_15;1372
85_15;3620
85_15;1524
85_15;8016
85_15;14100
85_15;4068
85_15;2552
85_15;3612
85_15;8550
85_15;6943
85_15;5408
85_15;32162
85_15;4466
85_15;3635
85_15;882
85_15;1550
85_15;341
85_15;498
85_15;5771
85_15;1348
85_15;538
85_15;436
85_15;13699
85_15;3124
85_15;973
85_15;4284
85_15;3851
85_15;1968
85_15;1776
85_15;576
85_15;19482
85_15;1263
85_15;918
85_15;6360
85_15;8090
85_15;8823
85_15;2786
85_15;6152
85_15;1100
85_15;8329
85_15;2740
85_15;1490
85_15;4238
85_15;12566
85_15;1106
85_15;911
85_15;2254
85_15;22172
85_15;448
85_15;1664
85_15;477
85_15;8820
85_15;1164
85_15;2627
85_15;2627
85_15;1766
85_15;1162
85_15;4220
85_15;3212
85_15;14956
85_15;832
85_15;7556
85_15;7859
85_15;1628
85_15;1020
85_15;1380
85_15;1456
85_15;477
85_15;576
85_15;420
85_15;10468
85_15;2912
85_15;12168
85_15;4963
85_15;2688
85_15;1247
85_15;7156
85_15;7847
85_15;1844
85_15;420
85_15;830
85_15;484
85_15;1294
85_15;1251
85_15;1628
85_15;2166
85_15;11128
85_15;3488
85_15;3016
85_15;928
85_15;860
85_15;590
85_15;711
85_15;1132
85_15;8016
85_15;988
85_15;2076
85_15;780
85_15;4284
85_15;5028
85_15;2632
85_15;5120
85_15;1664
85_15;1597
85_15;884
85_15;830
85_15;7232
85_15;6944
85_15;6020
85_15;35284
85_15;16268
85_15;31952
85_15;1968
85_15;227336
85_15;4284
85_15;6668
85_15;19116
85_15;4780
85_15;5532
85_15;10212
85_15;231516
85_15;51676
85_15;36640
85_15;16292
85_15;12892
85_15;19604
85_15;32016
85_15;18148
85_15;16756
85_15;10212
85_15;35944
85_15;67429
85_15;42264
85_15;19116
85_15;38024
85_15;107524
85_15;12432
85_15;32016
85_15;56400
85_15;32572
85_15;40092
85_15;8816
85_15;38704
85_15;80423
85_15;74472
85_15;72802
85_15;14956
85_15;73472
85_15;7528
85_15;91820
85_15;96180
85_15;21128
85_15;13580
85_15;2624
85_15;30172
85_15;8492
85_15;220616
85_15;18580
85_15;21108
85_15;25328
85_15;49880
85_15;3412
85_15;5544
85_15;39216
85_15;67880
85_15;92936
85_15;36624
85_15;20100
85_15;38704
85_15;26584
85_15;16268
85_15;16724
85_15;19116
85_15;5768
85_15;123124
85_15;18750
85_15;19604
85_15;30156
85_15;7220
85_15;6284
85_15;48320
85_15;94028
85_15;33952
85_15;5812
85_15;65168
85_15;64244
85_15;11304
85_15;4548
85_15;11704
85_15;19116
85_15;6608
85_15;18624
85_15;24864
85_15;5812
85_15;13240
85_15;46008
85_15;22172
85_15;59606
85_15;4048
85_15;6084
85_15;95092
85_15;58112
85_15;43012
85_15;14520
85_15;63344
85_15;101800
85_15;20584
85_15;8756
85_15;5828
85_15;14956
85_15;19604
85_15;14956
85_15;129468
85_15;7468
85_15;3412
85_15;26024
85_15;3016
85_15;10212
85_15;32692
85_15;12824
85_15;12064
85_15;39316
85_15;13692
85_15;21108
85_15;21108
85_15;5208
85_15;7220
85_15;3396
85_15;11304
85_15;15836
85_15;7840
85_15;5736
85_15;4492
85_15;14100
85_15;23232
85_15;4060
85_15;143530
85_15;15380
85_15;3396
85_15;3396
85_15;6084
85_15;6668
85_15;38004
85_15;46752
85_15;5532
85_15;3596
85_15;18580
85_15;8492
85_15;12472
85_15;12320
85_15;8492
85_15;7528
85_15;21084
85_15;70257
85_15;28360
85_15;9500
85_15;29568
85_15;48320
85_15;2644
85_15;8492
85_15;5532
85_15;6284
85_15;9480
85_15;1264
85_15;9152
85_15;21128
85_15;61480
85_15;11660
85_15;11980
85_15;16724
85_15;6668
85_15;20612
85_15;7548
85_15;9856
85_15;19604
85_15;8816
85_15;1968
85_15;5768
85_15;21128
85_15;10944
85_15;1940
85_15;3620
85_15;2128
85_15;8816
85_15;45928
85_15;10580
85_15;9176
85_15;9432
85_15;2644
85_15;25684
85_15;11292
85_15;30752
85_15;17652
85_15;20108
85_15;5020
85_15;5532
85_15;4780
85_15;15356
85_15;2128
85_15;13901
85_15;21648
85_15;3856
85_15;19604
85_15;5272
85_15;3228
85_15;4048
85_15;7860
85_15;9856
85_15;13692
85_15;40832
85_15;4304
85_15;2644
85_15;28360
85_15;7528
85_15;13684
85_15;4528
85_15;4048
85_15;12016
85_15;6084
85_15;31428
85_15;49092
85_15;5544
85_15;7860
85_15;4528
85_15;83472
85_15;8172
85_15;2644
85_15;15836
85_15;4548
85_15;78448
85_15;4548
85_15;14080
85_15;14080
85_15;6084
85_15;5812
85_15;9152
85_15;53924
85_15;26584
85_15;9480
85_15;7232
85_15;7840
85_15;10184
85_15;22712
85_15;71178
85_15;21632
85_15;13692
85_15;12472
85_15;12016
85_15;4756
85_15;8816
85_15;86520
85_15;14956
85_15;65168
85_15;5024
85_15;5768
85_15;12472
85_15;9152
85_15;8816
85_15;3412
85_15;84476
85_15;53096
85_15;18624
85_15;5544
85_15;85396
85_15;8816
85_15;5020
85_15;4284
85_15;15388
85_15;13272
85_15;12472
85_15;19016
85_15;12864
85_15;5812
85_15;19116
85_15;11704
85_15;36624
85_15;6092
85_15;14520
85_15;8816
85_15;12824
85_15;4304
85_15;5812
85_15;6084
85_15;8172
85_15;6944
85_15;12016
85_15;8172
85_15;13240
85_15;13240
85_15;5532
85_15;12864
85_15;43012
85_15;5272
85_15;22684
85_15;20100
85_15;9852
85_15;9852
85_15;8816
85_15;28900
85_15;9500
85_15;5272
85_15;3412
85_15;32036
85_15;8172
85_15;7860
85_15;2944
85_15;3640
85_15;4968
85_15;5736
85_15;5544
85_15;3212
85_15;11704
85_15;5532
85_15;3016
85_15;1472
71_29;13683
71_29;3728
71_29;812
71_29;794
71_29;8992
71_29;4780
71_29;186297
71_29;34146
71_29;5169
71_29;4059
71_29;32212
71_29;1383
71_29;90192
71_29;16977
71_29;5608
71_29;1260
71_29;43558
71_29;860
71_29;105151
71_29;21780
71_29;12954
71_29;7232
71_29;20555
71_29;32687
71_29;7458
71_29;2338
71_29;4326
71_29;116648
71_29;5408
71_29;3631
71_29;4420
71_29;4018
71_29;8475
71_29;2292
71_29;6868
71_29;11028
71_29;4718
71_29;14852
71_29;11962
71_29;6512
71_29;107770
71_29;38704
71_29;9337
71_29;7306
71_29;1313
71_29;960
71_29;4420
71_29;2828
71_29;1928
71_29;11496
71_29;13682
71_29;8187
71_29;3436
71_29;17676
71_29;1052
71_29;31736
71_29;8584
71_29;12664
71_29;8744
71_29;11406
71_29;3220
71_29;2780
71_29;1488
71_29;12064
71_29;5734
71_29;3219
71_29;25451
71_29;9689
71_29;3855
71_29;12475
71_29;2168
71_29;2643
71_29;4362
71_29;106901
71_29;35440
71_29;167612
71_29;48100
71_29;32687
71_29;12756
71_29;9500
71_29;6512
71_29;6292
71_29;7776
71_29;17196
71_29;107836
71_29;32212
71_29;5348
71_29;41912
71_29;48122
71_29;13683
71_29;7071
71_29;4584
71_29;9946
71_29;5544
71_29;2831
71_29;12463
71_29;47523
71_29;74764
71_29;11598
71_29;4474
71_29;6150
71_29;4964
71_29;6497
71_29;35472
71_29;11796
71_29;1135
71_29;3640
71_29;6651
71_29;3412
71_29;2828
71_29;5264
71_29;2452
71_29;1940
71_29;1516
71_29;4528
71_29;2116
71_29;6092
71_29;5544
71_29;5084
71_29;1940
71_29;3640
71_29;13684
71_29;2116
71_29;1664
71_29;1796
71_29;3816
71_29;1968
71_29;1940
71_29;1020
71_29;10212
71_29;13240
71_29;2812
71_29;1796
71_29;1380
71_29;4780
71_29;1968
71_29;1796
71_29;1664
71_29;8492
71_29;15836
71_29;2472
71_29;2472
71_29;6924
71_29;1664
71_29;1132
71_29;1380
71_29;5272
71_29;7232
71_29;3228
71_29;2868
71_29;9856
71_29;9835
71_29;3396
71_29;3620
71_29;10944
71_29;9116
71_29;7220
71_29;4060
71_29;6360
71_29;4528
71_29;1664
71_29;2724
71_29;5020
71_29;19357
71_29;16756
71_29;4304
71_29;1528
71_29;3016
71_29;4284
71_29;1664
71_29;4780
71_29;4548
71_29;3016
71_29;18148
71_29;1380
71_29;2828
71_29;7232
71_29;5812
71_29;8172
71_29;4968
71_29;3016
71_29;2264
71_29;4756
71_29;3016
71_29;1768
71_29;5272
71_29;2644
71_29;7656
71_29;5896
71_29;3620
71_29;23232
71_29;5492
71_29;4304
71_29;2472
71_29;3228
71_29;8492
71_29;2988
71_29;4528
71_29;2944
71_29;5024
71_29;4304
71_29;2624
71_29;9176
71_29;2988
71_29;8492
71_29;5024
71_29;2724
71_29;6668
71_29;3816
71_29;16268
71_29;4284
71_29;7748
71_29;8148
71_29;7860
71_29;3212
71_29;4332
71_29;23780
71_29;2472
71_29;2292
71_29;2828
71_29;7840
71_29;14956
71_29;2404
71_29;1696
71_29;4780
71_29;10560
71_29;2128
71_29;3228
71_29;9176
71_29;4048
71_29;4048
71_29;5272
71_29;3412
71_29;19116
71_29;2292
71_29;7232
71_29;17676
71_29;4548
71_29;5264
71_29;2644
71_29;11292
71_29;6924
71_29;2128
71_29;2116
71_29;4304
71_29;4304
71_29;6360
71_29;2644
71_29;5272
71_29;3620
71_29;4060
71_29;7188
71_29;9500
71_29;3640
71_29;12472
71_29;27768
71_29;8492
71_29;9116
71_29;8172
71_29;6084
71_29;3016
71_29;2116
71_29;12064
71_29;46008
71_29;8444
71_29;3356
71_29;2644
71_29;1356
71_29;3856
71_29;4528
71_29;2404
71_29;2644
71_29;4060
71_29;3016
71_29;42264
71_29;5272
71_29;1328
71_29;2988
71_29;3412
71_29;14956
71_29;15836
71_29;12991
71_29;45633
71_29;1768
71_29;33340
71_29;12472
71_29;7804
71_29;4492
71_29;57232
71_29;38676
71_29;98969
71_29;34636
71_29;32692
71_29;26488
71_29;30648
71_29;23196
71_29;23236
71_29;23232
71_29;31420
71_29;10916
71_29;24328
71_29;6944
71_29;25860
71_29;35284
71_29;15388
71_29;46716
71_29;25984
71_29;9480
71_29;34636
71_29;11704
71_29;26584
71_29;37336
71_29;23780
71_29;18168
71_29;33964
71_29;6944
71_29;105466
71_29;46008
71_29;27740
71_29;33252
71_29;11704
71_29;11704
71_29;22712
71_29;52300
71_29;3016
71_29;31420
71_29;50664
71_29;29568
71_29;20612
71_29;108680
71_29;5020
71_29;30172
71_29;24848
71_29;6668
71_29;43728
71_29;6360
71_29;14080
71_29;29568
71_29;16724
71_29;14536
71_29;10212
71_29;20060
71_29;61571
71_29;28360
71_29;32688
71_29;63344
71_29;6019
71_29;8392
71_29;45992
71_29;45992
71_29;53900
71_29;106032
71_29;50068
71_29;13212
71_29;427619
71_29;5020
71_29;9852
71_29;4756
71_29;23232
71_29;5024
71_29;3412
71_29;3856
71_29;11704
71_29;7548
71_29;49772
71_29;22152
71_29;10212
71_29;39424
71_29;7548
71_29;13272
71_29;43012
71_29;94028
71_29;10944
71_29;4528
71_29;2472
71_29;10580
71_29;17156
71_29;14520
71_29;14956
71_29;9856
71_29;6336
71_29;96494
71_29;71624
71_29;19116
71_29;3620
71_29;3176
71_29;51546
71_29;33792
71_29;40792
